"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","DESKTOP-SUL4QOG",,,,"User:","elcfin"
"Cmdline:","dstat -cdm --output ./dstat_output_new.csv 1 300 -t",,,,"Date:","20 Jun 2025 02:07:18 CST"
"total usage",,,,,"dsk/total",,"memory usage",,,,"system"
0.483,2.125,94.005,3.623,0,152857.818,106522.043,11814376,240560,2580,4141884,20-06 02:08:30
0.417,1.407,93.237,5.055,0,95665.912,71525.331,11834536,249036,2552,4113328,20-06 02:08:31
0.497,2.584,92.494,4.075,0,180991.944,45240.034,11968400,4052092,860,192340,20-06 02:08:32
0.505,3.185,92.354,3.690,0,431308.305,0,12397128,3197468,860,618828,20-06 02:08:33
0.251,3.113,92.590,3.314,0,431269.533,0,12827228,2337844,860,1048352,20-06 02:08:34
0.392,1.275,94.439,3.530,0,408639.155,31.382,13244440,1503980,872,1464992,20-06 02:08:35
0.304,1.317,94.421,3.343,0,439220.268,0,13679608,635404,872,1898400,20-06 02:08:36
1.823,1.671,93.910,2.379,0,316456.398,1490.407,13982268,250260,964,1980808,20-06 02:08:37
5.212,0,94.654,0.099,0,142.949,0,13978712,253484,968,1981136,20-06 02:08:38
5.037,0.151,94.642,0,0,0,0,13980720,251476,968,1981136,20-06 02:08:39
4.996,0.049,94.720,0.245,0,109.707,23.509,13998432,234088,976,1980804,20-06 02:08:40
3.108,2.306,94.452,0,0,188.503,29522.732,7805064,6667764,976,1740496,20-06 02:08:41
0.255,0.662,98.834,0.153,0,1833.085,0,5308388,9162668,976,1742268,20-06 02:08:42
0.049,0.493,99.258,0.099,0,15.779,0,5308308,9162644,976,1742372,20-06 02:08:43
0.094,0.142,99.635,0,0,3.779,0,5303212,9167740,976,1742372,20-06 02:08:44
0,0.308,99.514,0,0,0,24.635,5303212,9167740,984,1742364,20-06 02:08:45
0.157,0.210,99.497,0.105,0,121.619,0,5304108,9166844,984,1742364,20-06 02:08:46
1.301,3.253,315.315,5.905,0,663552.620,0,6233844,7573440,1276,2405372,20-06 02:08:47
0.250,1.248,94.486,3.596,0,413068.016,39.952,6641960,6750732,1284,2818996,20-06 02:08:48
0.336,1.440,94.254,3.503,0,423856.494,0,7086260,5863824,1284,3260596,20-06 02:08:49
0.451,1.053,94.648,3.660,0,414403.795,0,7501044,5034640,1284,3674036,20-06 02:08:50
0.352,1.812,94.602,2.868,0,419188.277,0,7917420,4200936,1284,4090420,20-06 02:08:51
0.247,1.827,94.520,3.111,0,432114.228,0,8358208,3321648,1284,4527928,20-06 02:08:52
0.676,2.234,94.367,2.494,0,430644.389,16.628,8771944,2492628,1292,4942292,20-06 02:08:53
0.299,1.643,94.443,3.186,0,433479.243,27.880,9204876,1623512,1300,5377524,20-06 02:08:54
0.353,1.813,94.446,2.922,0,469635.621,0,9674120,687020,1300,5843700,20-06 02:08:55
0.448,3.087,94.215,2.540,0,433312.483,0,10102148,250208,1436,5851388,20-06 02:08:56
0.403,1.865,94.391,3.326,0,450513.318,0,10550368,229632,1436,5422720,20-06 02:08:57
0.448,2.039,94.125,3.182,0,447311.351,59.667,10993128,234588,1444,4973956,20-06 02:08:58
0.350,1.552,93.918,3.404,0,455110.780,144.181,11438140,237908,1600,4524444,20-06 02:08:59
0.576,1.968,93.827,3.072,0,390142.188,32946.347,11831144,248272,1600,4120388,20-06 02:09:00
0.411,2.618,94.092,2.669,0,262164.345,120454.332,11965640,237688,1600,3996460,20-06 02:09:01
0.253,2.324,94.055,2.980,0,353252.301,59532.727,12261428,241248,1724,3696988,20-06 02:09:02
0.248,1.585,94.321,3.418,0,436255.067,0,12702468,221656,1724,3275540,20-06 02:09:03
0.409,1.788,94.190,3.320,0,441062.102,0,13136876,240888,1724,2821900,20-06 02:09:04
0.550,1.699,93.579,3.597,0,428414.164,35.973,13569268,235008,1732,2395380,20-06 02:09:05
3.262,0.672,94.496,1.343,0,161109.777,0,13736528,248996,1732,2214132,20-06 02:09:06
5.078,0,94.644,0.103,0,73.868,45.142,13733448,251768,1744,2214428,20-06 02:09:07
5.178,0.305,91.584,3.198,0,4.061,0,13735936,249260,1744,2214448,20-06 02:09:08
4.550,0.450,94.796,0.050,0,8.000,11.999,13877512,236160,1744,2085972,20-06 02:09:09
1.832,2.773,95.165,0.050,0,629.809,91.104,5070040,9163548,1756,1966044,20-06 02:09:10
0.050,0.101,99.771,0,0,4.037,0,5068372,9165216,1756,1966044,20-06 02:09:11
0.099,0.394,99.260,0,0,3.945,0,5069364,9164224,1756,1966044,20-06 02:09:12
0.050,0,99.826,0.050,0,8.071,0,5069364,9164224,1756,1966044,20-06 02:09:13
0.148,0.493,99.391,0,0,406.444,0,5070468,9162712,1756,1966452,20-06 02:09:14
0.147,0.098,99.485,0,0,0,27.458,5069348,9163832,1764,1966444,20-06 02:09:15
0.102,0.511,99.130,0,0,4.088,0,5071164,9162008,1764,1966452,20-06 02:09:16
0.255,0.510,323.748,0,0,281.476,65.270,5071404,9161492,1772,1966720,20-06 02:09:17
0.440,0.342,99.084,0,0,82.162,0,5070488,9162340,1772,1966788,20-06 02:09:18
0,0.204,99.874,0,0,8.141,0,5070364,9162456,1772,1966796,20-06 02:09:19
0.151,0.352,99.442,0,0,8.040,0,5068096,9164724,1772,1966796,20-06 02:09:20
0.343,1.175,96.113,2.252,0,248224.114,0,5585296,8394156,1772,2220164,20-06 02:09:21
0.408,1.786,94.071,3.522,0,415079.307,24.500,5995472,7577188,1780,2626948,20-06 02:09:22
0.551,1.253,94.251,3.608,0,411256.602,4.009,6403896,6758088,1780,3037624,20-06 02:09:23
0.494,1.434,94.234,3.510,0,436155.971,3.955,6846272,5874832,1780,3478504,20-06 02:09:24
0.201,1.258,94.744,3.371,0,417728.564,8.051,7262216,5043736,1780,3893688,20-06 02:09:25
0.598,2.143,94.482,2.541,0,431704.153,0,7698596,4174460,1780,4326584,20-06 02:09:26
0.504,2.320,94.513,2.421,0,426843.346,28.243,8124124,3325508,1788,4750000,20-06 02:09:27
0.695,2.481,94.217,2.431,0,436543.405,7.938,8566308,2443388,1788,5189936,20-06 02:09:28
0.447,1.690,94.665,3.230,0,440802.882,0,9006032,1560132,1788,5633468,20-06 02:09:29
0.406,1.622,94.391,3.092,0,469790.453,0,9471424,631500,1788,6096708,20-06 02:09:30
0.249,1.842,94.425,2.937,0,441777.612,107.516,9913832,239308,1788,6046492,20-06 02:09:31
0.703,1.859,93.845,3.517,0,442724.135,156.744,10355992,241844,1692,5601892,20-06 02:09:32
0.450,1.799,94.134,3.448,0,439569.544,15.989,10789960,241324,1668,5168468,20-06 02:09:33
0.550,2.051,93.979,3.351,0,453034.769,16.005,11242256,237840,1668,4719656,20-06 02:09:34
0.342,1.854,94.176,3.416,0,441734.372,19.518,11694556,243496,1572,4261796,20-06 02:09:35
0.359,1.641,94.101,3.385,0,441016.750,16.410,12126248,245524,1572,3828076,20-06 02:09:36
0.341,1.851,94.143,3.458,0,443920.804,15.585,12581748,252208,1576,3365888,20-06 02:09:37
0.409,2.094,93.752,3.677,0,418717.288,57.191,12988568,235400,1672,2975780,20-06 02:09:38
0.519,1.933,94.010,3.489,0,446495.941,18.859,13463448,234156,1672,2502144,20-06 02:09:39
2.188,0.696,94.570,2.237,0,267074.196,15.911,13730188,246964,1672,2222596,20-06 02:09:40
5.183,0.106,94.515,0,0,38.081,0,13733276,243980,1672,2222492,20-06 02:09:41
5.085,0.102,94.630,0.051,0,1741.073,0,13733948,242216,1672,2223584,20-06 02:09:42
5.247,0.347,94.254,0.050,0,1714.792,71.285,13762060,241132,1680,2196548,20-06 02:09:43
3.017,2.213,94.639,0,0,0,12.069,5872596,8361044,1680,1966036,20-06 02:09:44
0.250,1.000,98.765,0.050,0,963.663,0,5064588,9168364,1680,1966724,20-06 02:09:45
0.150,0.351,99.442,0,0,8.011,0,5067852,9164904,1680,1966920,20-06 02:09:46
0.150,0.150,99.523,0,0,16.020,0,5069500,9163256,1680,1966920,20-06 02:09:47
0.501,0.751,318.898,0.100,0,1341.886,44.062,5073904,9157488,1688,1968276,20-06 02:09:48
0.100,0.498,99.552,0,0,31.889,0,5074656,9156736,1688,1968276,20-06 02:09:49
0.201,0.150,99.592,0,0,140.412,40.118,5074796,9156448,1828,1968280,20-06 02:09:50
0.250,0.300,99.365,0.050,0,15.978,0,5073696,9157548,1828,1968280,20-06 02:09:51
0,0.050,99.793,0,0,12.029,0,5073696,9157548,1828,1968280,20-06 02:09:52
0.099,0.348,99.338,0,0,648.009,0,5073432,9157488,1828,1968604,20-06 02:09:53
0,0.050,99.957,0,0,60.337,0,5073636,9156984,1828,1968904,20-06 02:09:54
0.150,0.400,99.179,0.050,0,1456.419,36.010,5074132,9154912,1836,1970472,20-06 02:09:55
0.150,0.050,99.717,0,0,16.011,20.013,5071152,9157892,1836,1970472,20-06 02:09:56
0.096,0.386,99.537,0,0,30.864,0,5068752,9160292,1836,1970472,20-06 02:09:57
0,0.051,99.922,0,0,0,0,5068752,9160292,1836,1970472,20-06 02:09:58
0.102,0.356,99.321,0,0,0,0,5071264,9157780,1836,1970472,20-06 02:09:59
0.402,1.055,96.531,1.758,0,196247.383,24.108,5533100,8500316,1844,2166092,20-06 02:10:00
0.700,1.399,93.993,3.548,0,415824.953,19.988,5952360,7664924,1848,2582156,20-06 02:10:01
0.250,1.100,94.540,3.501,0,411157.026,0,6360936,6845296,1848,2993208,20-06 02:10:02
0.450,2.601,92.622,3.501,0,427464.241,0,6791136,5988240,1848,3420064,20-06 02:10:03
0.241,4.427,91.709,3.272,0,406975.785,0,7211824,5145056,1848,3842560,20-06 02:10:04
0.312,1.717,93.983,2.966,0,406335.208,0,7600836,4364876,1848,4233728,20-06 02:10:05
0.560,1.821,94.506,2.942,0,417893.111,67.238,8052572,3465516,1856,4681344,20-06 02:10:06
0.470,2.507,94.235,2.089,0,362321.647,54.326,8587308,2584228,1856,5027896,20-06 02:10:07
0.949,3.098,94.944,1.049,0,137891.257,0,9811596,1221712,1856,5166124,20-06 02:10:08
0.352,1.910,94.539,2.614,0,419847.980,0,10249344,366432,1856,5583656,20-06 02:10:09
0.561,1.683,94.123,3.263,0,448493.778,248.819,10686768,237608,1856,5275056,20-06 02:10:10
0.695,1.737,93.685,3.573,0,441635.370,150.849,11132972,242016,1868,4824432,20-06 02:10:11
0.303,1.062,94.241,3.489,0,437220.449,0,11569720,236268,1852,4393448,20-06 02:10:12
0.499,1.147,94.205,3.940,0,193337.497,0,11877148,233680,1840,4088620,20-06 02:10:13
0.392,1.177,94.278,3.777,0,309365.310,0,12249160,239364,1832,3710932,20-06 02:10:14
0.409,1.637,94.119,3.581,0,435141.899,0,12676620,235548,1832,3287288,20-06 02:10:15
0.450,1.300,93.679,3.949,0,435013.513,47.989,13109480,240836,1844,2849128,20-06 02:10:16
0.550,1.399,93.972,3.447,0,445134.593,0,13552112,244864,1808,2402504,20-06 02:10:17
14.491,0.946,305.113,1.594,0,179815.217,39.839,13735744,251612,1812,2212120,20-06 02:10:18
5.054,0.851,94.618,0,0,316.227,40.029,13920988,239384,1812,2039104,20-06 02:10:19
1.099,1.798,97.012,0,0,883.201,0,5066124,9171704,1812,1961648,20-06 02:10:20
0.150,0.300,99.498,0,0,12.018,0,5071208,9166436,1812,1961896,20-06 02:10:21
0.100,0.450,99.250,0,0,4.004,0,5067620,9170024,1812,1961896,20-06 02:10:22
0.050,0.251,99.393,0,0,0,24.071,5071876,9165768,1820,1961888,20-06 02:10:23
0.200,0.349,99.289,0,0,0,0,5072588,9165048,1820,1961896,20-06 02:10:24
0.050,0,99.760,0,0,0,0,5070572,9167064,1820,1961896,20-06 02:10:25
0.200,0.300,99.476,0,0,0,0,5071984,9165652,1820,1961896,20-06 02:10:26
0,0.100,99.847,0,0,0,0,5070400,9167236,1820,1961896,20-06 02:10:27
0.250,0.551,99.050,0.050,0,0,24.024,5071716,9165920,1828,1961888,20-06 02:10:28
0.100,0.100,99.732,0,0,0,0,5071620,9166008,1828,1961896,20-06 02:10:29
0.049,0.297,99.458,0,0,118.756,0,5068636,9168872,1828,1962016,20-06 02:10:30
0.148,0,99.892,0,0,0,0,5068636,9168872,1828,1962016,20-06 02:10:31
0.150,0.250,99.746,0,0,0,0,5068228,9169276,1828,1962020,20-06 02:10:32
0.154,1.894,97.956,0,0,4.094,0,5069372,9168132,1828,1962020,20-06 02:10:33
0.196,3.038,96.730,0,0,23.521,23.521,5070164,9167332,1836,1962020,20-06 02:10:34
0.100,0.350,99.366,0,0,0,0,5070164,9167332,1836,1962020,20-06 02:10:35
0.200,0.250,99.556,0,0,0,0,5069916,9167580,1836,1962020,20-06 02:10:36
0.050,0.250,99.400,0.050,0,448.677,0,5069592,9167580,1836,1962344,20-06 02:10:37
0.200,0.150,99.641,0,0,8.003,0,5067552,9169496,1836,1962468,20-06 02:10:38
0.452,0.201,99.111,0.151,0,289.200,32.133,5069280,9167480,1844,1962748,20-06 02:10:39
0.099,0.149,99.594,0,0,3.974,11.921,5069072,9167700,1848,1962764,20-06 02:10:40
0.100,0.300,99.400,0,0,0,0,5069072,9167700,1848,1962764,20-06 02:10:41
0.150,0.201,99.692,0,0,12.035,0,5068060,9168712,1848,1962764,20-06 02:10:42
0,0.253,99.442,0,0,121.395,0,5067016,9169756,1848,1962764,20-06 02:10:43
0.346,0.148,99.305,0.049,0,55.334,47.429,5067984,9168756,1856,1962852,20-06 02:10:44
0.097,0.145,99.594,0,0,15.456,7.728,5067984,9168756,1856,1962852,20-06 02:10:45
0.363,2.387,94.771,2.232,0,318745.632,33.217,5640976,8288524,1856,2270092,20-06 02:10:46
0.299,1.395,94.677,3.139,0,410263.027,0,6054372,7463648,1856,2681572,20-06 02:10:47
0.970,5.818,307.339,9.646,0,1339943.926,36.746,7368700,4836692,1864,3994192,20-06 02:10:48
0.199,2.239,94.570,2.686,0,438086.227,0,7808208,3956736,1864,4434640,20-06 02:10:49
0.905,3.419,94.584,1.257,0,194200.667,0,8796516,2775276,1864,4627792,20-06 02:10:50
0.399,2.145,94.109,2.543,0,451782.657,35.908,9249192,1870400,1872,5079984,20-06 02:10:51
0.798,2.693,94.315,2.145,0,420629.074,47.881,9744840,952692,1872,5502044,20-06 02:10:52
0.550,2.901,94.585,1.751,0,270585.015,320.120,10562180,237828,1872,5399568,20-06 02:10:53
0.648,2.045,94.024,3.093,0,449166.356,19.952,11017956,239344,1772,4942376,20-06 02:10:54
0.302,1.612,94.285,3.526,0,450897.933,16.117,11466972,233628,1772,4499076,20-06 02:10:55
1.199,1.798,93.517,3.897,0,237773.511,191.830,11811440,234152,1776,4154080,20-06 02:10:56
0.341,1.365,94.198,3.559,0,263661.443,27.304,12163060,249300,1776,3787312,20-06 02:10:57
0.499,1.745,94.206,3.341,0,443710.266,19.948,12606860,234212,1776,3358568,20-06 02:10:58
0.247,1.485,94.421,3.662,0,434591.675,15.836,13046344,245508,1772,2907792,20-06 02:10:59
0.416,1.561,94.217,3.486,0,445933.337,20.810,13477156,234972,1772,2487516,20-06 02:11:00
2.450,0.950,94.057,2.250,0,261479.924,44.003,13737976,243912,1772,2217724,20-06 02:11:01
5.228,1.184,93.511,0,0,1112.664,0,13735188,2450796,928,27488,20-06 02:11:02
5.010,0.737,94.201,0,0,19.646,0,13735488,2450792,928,27416,20-06 02:11:03
4.720,0.457,94.460,0.152,0,2809.935,8.121,13804856,2378980,928,29860,20-06 02:11:04
2.796,2.135,95.069,0.051,0,1980.699,0,5069812,11112080,928,31804,20-06 02:11:05
0.301,0.751,98.574,0.200,0,3349.929,36.064,5068648,11110100,940,34968,20-06 02:11:06
0.200,0.200,99.538,0.150,0,1195.857,39.995,5071064,11106264,1044,36284,20-06 02:11:07
0.149,0.396,99.032,0,0,31.706,0,5073328,11104000,1044,36284,20-06 02:11:08
0.097,0.048,99.904,0,0,123.912,7.744,5073328,11104000,1176,36152,20-06 02:11:09
0.156,0.521,99.074,0,0,0,0,5072756,11104440,1176,36284,20-06 02:11:10
2.855,0.200,96.570,0.150,0,3506.158,0,5074744,11099076,1180,39656,20-06 02:11:11
0.350,0.350,98.961,0,0,112.013,52.006,5074620,11099004,1192,39840,20-06 02:11:12
0.099,0.050,99.872,0,0,170.841,0,5074448,11099004,1192,40012,20-06 02:11:13
0.049,0.195,99.366,0,0,0,0,5074700,11098752,1192,40012,20-06 02:11:14
0.052,0.155,99.762,0,0,0,0,5073396,11100056,1192,40012,20-06 02:11:15
0.245,0.196,99.483,0,0,0,50.967,5073228,11100240,1192,40012,20-06 02:11:16
0.203,0.457,99.142,0,0,0,24.367,5075872,11097588,1200,40012,20-06 02:11:17
0.201,0.451,324.565,0,0,401.255,12.038,5074288,11098732,1504,40116,20-06 02:11:18
0.301,0.200,99.307,0.150,0,1338.791,72.150,5072608,11100028,1516,40488,20-06 02:11:19
0.150,0.200,99.588,0,0,27.997,0,5075360,11097032,1516,40732,20-06 02:11:20
0.050,0.100,99.673,0,0,11.973,0,5075612,11096780,1516,40732,20-06 02:11:21
0,0,99.819,0,0,8.026,0,5075860,11096528,1516,40736,20-06 02:11:22
0.100,0.199,99.522,0,0,3.989,0,5077876,11094512,1516,40736,20-06 02:11:23
0.250,0.200,99.461,0,0,0,24.003,5075416,11096972,1524,40728,20-06 02:11:24
0.150,0.250,99.205,0,0,0,64.036,5077524,11094824,1524,40736,20-06 02:11:25
0.150,0,99.961,0,0,0,0,5073264,11099084,1524,40736,20-06 02:11:26
0.148,0.246,99.564,0,0,0,3.943,5076784,11095564,1524,40736,20-06 02:11:27
0.151,0.151,99.837,0,0,0,0,5074672,11097676,1524,40736,20-06 02:11:28
0.303,0.202,99.324,0.051,0,24.250,24.250,5080312,11092028,1532,40736,20-06 02:11:29
0.145,0.145,99.628,0,0,0,0,5080196,11092140,1532,40740,20-06 02:11:30
0.052,0.156,99.746,0,0,0,0,5077632,11094704,1532,40740,20-06 02:11:31
0.050,0,99.789,0,0,0,0,5077632,11094704,1532,40740,20-06 02:11:32
0.197,1.821,98.087,0,0,0,0,5082328,11090008,1532,40740,20-06 02:11:33
0.253,5.169,94.813,0,0,0,24.324,5076816,11095512,1540,40740,20-06 02:11:34
0.348,3.429,96.154,0,0,0,0,5072716,11099612,1540,40740,20-06 02:11:35
0.097,0.048,99.785,0,0,0,0,5073116,11099212,1540,40740,20-06 02:11:36
0.209,0.261,99.395,0,0,8.344,8.344,5071184,11101144,1548,40732,20-06 02:11:37
0,0.049,99.958,0,0,0,3.935,5071108,11101212,1548,40740,20-06 02:11:38
0.203,0.457,99.177,0.051,0,487.007,40.584,5076044,11095832,1556,41176,20-06 02:11:39
0.199,0.099,99.796,0,0,0,0,5077468,11094376,1556,41176,20-06 02:11:40
0.200,0.250,99.527,0,0,0,0,5075396,11096448,1556,41176,20-06 02:11:41
0.050,0.050,99.810,0,0,0,0,5075144,11096700,1556,41176,20-06 02:11:42
0.150,0.250,99.572,0,0,0,0,5073216,11098628,1556,41176,20-06 02:11:43
0.152,0.203,99.708,0,0,0,24.356,5074064,11097780,1564,41168,20-06 02:11:44
0.145,0.194,99.493,0,0,15.485,0,5072840,11098996,1564,41176,20-06 02:11:45
0.154,0.051,99.732,0,0,12.357,0,5073596,11098240,1564,41176,20-06 02:11:46
0.148,0.049,99.669,0,0,15.805,27.658,5073732,11098104,1564,41176,20-06 02:11:47
1.486,6.538,298.377,8.420,0,1204929.948,47.550,6552576,8402572,1696,1257700,20-06 02:11:48
0.411,1.950,94.496,2.772,0,421414.842,0,6964832,7579820,1696,1668196,20-06 02:11:49
0.250,1.550,94.572,2.851,0,416616.011,16.004,7379920,6748220,1704,2084700,20-06 02:11:50
0.449,2.146,94.543,2.795,0,431198.004,0,7813876,5882344,1704,2516620,20-06 02:11:51
0.551,2.104,94.264,2.855,0,418659.573,52.091,8232640,5044952,1712,2934408,20-06 02:11:52
0.391,1.908,94.432,2.789,0,433772.391,0,8679132,4154096,1712,3377796,20-06 02:11:53
0.457,1.982,94.564,2.795,0,432528.102,0,9108056,3298736,1712,3803272,20-06 02:11:54
0.297,2.031,94.495,2.724,0,446930.763,0,9560896,2393528,1712,4254600,20-06 02:11:55
