"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","DESKTOP-SUL4QOG",,,,"User:","elcfin"
"Cmdline:","dstat -t -cdm --output ./dstat_output.csv 1 120",,,,"Date:","20 Jun 2025 01:39:32 CST"
"system","total usage",,,,,"dsk/total",,"memory usage",,,
20-06 01:41:00,0.551,0.100,94.705,4.455,0,0,87181.001,8855100,7060788,9060,266004
20-06 01:41:01,0.601,0.050,94.772,4.558,0,28.051,82108.923,8853216,7062648,9072,266016
20-06 01:41:02,0.850,0.250,94.350,4.352,0,4.002,93317.114,8852316,7063464,9096,266072
20-06 01:41:03,0.551,0.100,93.906,5.409,0,0,63749.859,8850176,7065564,9124,266084
20-06 01:41:04,0.647,0.249,94.451,4.481,0,11.950,108127.510,8848664,7067056,9136,266092
20-06 01:41:05,0.547,0.100,94.661,4.479,0,0,85702.375,8849896,7065796,9156,266100
20-06 01:41:06,0.653,0.100,94.620,4.417,0,8.031,88461.957,8850728,7064932,9172,266116
20-06 01:41:07,0.500,0.050,94.557,4.598,0,11.995,89135.243,8848808,7066832,9184,266124
20-06 01:41:08,0.604,0.151,93.516,5.433,0,124.755,85609.784,8851032,7064572,9208,266132
20-06 01:41:09,1.095,0.299,94.348,4.580,0,23.898,88769.617,8852444,7063124,9224,266148
20-06 01:41:10,0.396,0.050,94.879,4.459,0,3.964,81234.132,8852672,7062872,9236,266160
20-06 01:41:11,0.596,0.099,94.348,4.471,0,7.949,90661.108,8849580,7065936,9256,266168
20-06 01:41:12,0.960,0.152,94.793,4.194,0,4.042,91118.274,8849504,7065980,9272,266184
20-06 01:41:13,0.635,0.196,94.234,4.888,0,23.461,82120.653,8851748,7063716,9284,266192
20-06 01:41:14,0.662,0.357,94.082,4.737,0,16.300,89805.323,8851644,7063792,9304,266200
20-06 01:41:15,0.647,0.149,94.720,4.432,0,3.984,89811.746,8854888,7060516,9320,266216
20-06 01:41:16,0.699,0,94.706,4.496,0,7.992,79832.823,8854868,7060516,9332,266224
20-06 01:41:17,0.506,0.203,94.787,4.506,0,12.152,90270.202,8851440,7063924,9344,266232
20-06 01:41:18,0.596,0.099,94.757,4.273,0,3.975,86578.127,8851196,7064128,9368,266248
20-06 01:41:19,0.850,0.300,93.866,4.901,0,44.008,92255.853,8851788,7063516,9380,266256
20-06 01:41:20,0.701,0.050,94.628,4.456,0,12.016,86480.781,8852764,7062512,9400,266264
20-06 01:41:21,2.447,0.636,327.633,15.024,0,11.745,306869.896,8854728,7060444,9452,266304
20-06 01:41:22,0.877,0.155,94.310,4.437,0,0,82510.196,8854708,7060436,9472,266312
20-06 01:41:23,0.592,0.148,94.706,4.538,0,15.784,90965.493,8854424,7060688,9488,266328
20-06 01:41:24,0.648,0.100,94.391,4.685,0,135.556,90882.392,8850580,7064512,9500,266336
20-06 01:41:25,0.559,0.051,94.803,4.321,0,4.067,85452.013,8850552,7064512,9524,266340
20-06 01:41:26,0.801,0.351,94.508,4.658,0,32.054,95435.584,8852944,7062104,9536,266360
20-06 01:41:27,0.595,0.198,93.713,5.154,0,75.327,87331.716,8854124,7060912,9552,266356
20-06 01:41:28,0.702,0.200,94.455,4.610,0,20.044,84243.267,8857356,7057640,9572,266376
20-06 01:41:29,0.651,0.100,94.793,4.254,0,0,91269.943,8855284,7059700,9584,266376
20-06 01:41:30,0.503,0.101,94.979,4.171,0,4.020,93696.623,8855432,7059496,9600,266408
20-06 01:41:31,0.751,0.350,94.640,4.404,0,12.011,81081.208,8858036,7056872,9620,266408
20-06 01:41:32,0.625,0.144,94.622,4.329,0,0,97583.663,8856120,7058756,9632,266424
