"pcp-dstat 6.2.0 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","DESKTOP-SUL4QOG",,,,"User:","elcfin"
"Cmdline:","dstat -t -cdm --output ./dstat/dstat_output_20250621_155634.csv",,,,"Date:","21 Jun 2025 15:56:34 CST"
"system","total usage",,,,,"dsk/total",,"memory usage",,,
21-06 15:57:11,3.206,1.553,94.726,0.250,0,32957.146,0,3769508,9683620,4232,2746416
21-06 15:57:12,2.612,2.562,94.842,0,0,0,12.056,2311648,11141464,4232,2746416
21-06 15:57:13,2.834,2.039,94.769,0.298,0,32712.844,35.800,3804352,9615784,4240,2779312
21-06 15:57:14,3.226,1.815,94.718,0,0,0,0,1776612,11643524,4240,2779312
21-06 15:57:15,2.531,2.878,94.488,0.248,0,32650.126,0,3836092,9551080,4240,2812212
21-06 15:57:16,4.234,0.807,94.873,0,0,0,0,2875464,10511708,4240,2812212
21-06 15:57:17,1.494,4.083,94.750,0,0,0,19.916,3745384,9641788,4240,2812212
21-06 15:57:18,4.605,0.350,94.905,0.250,0,32932.553,48.053,3922460,9431736,4248,2845100
21-06 15:57:19,2.291,3.387,94.592,0,0,0,3.985,2939404,10414780,4248,2845112
21-06 15:57:20,7.460,5.407,233.614,0.300,0,32940.214,0,2558440,10762776,4248,2878008
21-06 15:57:21,2.866,2.414,94.733,0.302,0,33082.248,68.385,3935004,9353260,4256,2910904
21-06 15:57:22,4.100,1.250,94.648,0,0,0,111.998,1281572,12006692,4256,2910904
21-06 15:57:23,1.850,3.750,94.510,0,0,0,0,3813340,9474924,4256,2910904
21-06 15:57:24,4.422,0.546,94.840,0.248,0,32685.750,3.974,4022636,9232652,4256,2943800
21-06 15:57:25,1.703,3.356,94.917,0,0,0,0,2952828,10302460,4256,2943800
21-06 15:57:26,3.695,1.448,94.775,0.250,0,32852.565,43.942,4003092,9219228,4264,2976696
21-06 15:57:27,3.253,2.252,94.685,0,0,0,0,1935860,11286420,4264,2976696
21-06 15:57:28,2.198,2.947,94.508,0.250,0,32864.153,0,4030892,9158412,4264,3009592
21-06 15:57:29,4.607,0.451,94.795,0,0,0,0,4152608,9036696,4264,3009592
21-06 15:57:30,1.300,4.049,94.667,0,0,0,3.999,3470100,9719196,4264,3009592
21-06 15:57:31,3.947,0.949,94.767,0.250,0,32867.165,55.951,4062928,9093392,4272,3042480
21-06 15:57:32,2.601,3.101,94.743,0,0,0,4.002,2156812,10999508,4272,3042488
21-06 15:57:33,2.351,2.751,94.650,0.250,0,32913.372,0,4100184,9023192,4272,3075384
21-06 15:57:34,4.603,0.901,94.571,0,0,0,0,3637008,9486328,4272,3075384
21-06 15:57:35,1.349,3.798,95.008,0,0,0,0,3670144,9453168,4272,3075384
21-06 15:57:36,4.453,0.650,94.454,0.250,0,32914.920,36.021,4130452,8960112,4280,3108108
21-06 15:57:37,2.749,2.699,94.913,0,0,0,11.995,2363680,10726608,4280,3108280
21-06 15:57:38,4.048,2.949,92.714,0.200,0,32883.363,0,4169996,8887308,4280,3141176
21-06 15:57:39,4.504,0.550,94.783,0,0,0,0,3633916,9423388,4280,3141176
21-06 15:57:40,1.353,4.309,94.802,0,0,0,0,3655852,9401460,4280,3141176
21-06 15:57:41,3.843,0.998,94.686,0.200,0,32839.279,31.945,4203408,8820904,4288,3174072
21-06 15:57:42,3.149,2.799,94.668,0,0,0,0,2229064,10795216,4288,3174072
21-06 15:57:43,2.149,2.849,94.508,0.300,0,32881.228,11.995,4244396,8746924,4288,3206968
21-06 15:57:44,4.962,0.251,94.870,0,0,0,0,4338380,8652948,4288,3206968
21-06 15:57:45,1.595,3.440,94.873,0,0,0,0,3263284,9728044,4288,3206968
21-06 15:57:46,3.504,1.752,94.618,0.300,0,32937.095,32.040,4278428,8680192,4296,3239684
21-06 15:57:47,4.006,1.502,94.748,0,0,0,4.006,1483084,11475276,4296,3239864
21-06 15:57:48,1.550,4.199,94.622,0,0,0,11.996,4202112,8756256,4296,3239864
21-06 15:57:49,4.545,0.300,94.840,0.250,0,32857.971,43.949,4325632,8599776,4296,3272760
21-06 15:57:50,2.351,2.951,94.676,0,0,0,0,2602808,10322584,4296,3272760
21-06 15:57:51,7.813,3.606,202.475,0.250,0,32948.846,52.084,1315948,11576432,4304,3305692
21-06 15:57:52,1.590,3.627,94.707,0,0,0,15.900,2961848,9930532,4304,3305692
21-06 15:57:53,2.374,2.671,94.606,0.198,0,32537.111,0,4369596,8489832,4304,3338588
21-06 15:57:54,4.904,0.202,95.046,0,0,0,40.445,4425280,8434148,4304,3338588
21-06 15:57:55,2.316,3.373,94.500,0.050,0,0,52.360,2724600,10134812,4316,3338576
21-06 15:57:56,2.402,2.853,94.684,0.150,0,32925.286,56.050,4405808,8420640,4316,3371484
21-06 15:57:57,4.887,0.543,94.783,0,0,0,3.949,4511324,8315100,4316,3371484
21-06 15:57:58,1.468,3.542,94.732,0,0,0,4.048,3257584,9568840,4316,3371484
21-06 15:57:59,3.355,1.825,94.965,0.296,0,32456.851,0,4441464,8352000,4316,3404380
21-06 15:58:00,4.751,0.859,94.769,0,0,0,24.261,4555984,8237480,4324,3404372
21-06 15:58:01,1.389,3.720,94.475,0,0,0,0,3280428,9513012,4324,3404380
21-06 15:58:02,3.099,1.849,94.714,0.200,0,32883.523,0,4473048,8287432,4324,3437276
21-06 15:58:03,4.652,0.708,94.818,0,0,0,4.046,4593500,8166980,4324,3437276
21-06 15:58:04,1.543,3.734,94.744,0,0,0,3.983,3341652,9418836,4324,3437276
21-06 15:58:05,3.356,1.953,94.610,0.200,0,32951.840,24.041,4507768,8219720,4332,3470172
21-06 15:58:06,4.513,0.903,94.929,0,0,0,0,1620688,11106800,4332,3470172
21-06 15:58:07,1.544,3.735,94.661,0,0,0,0,3819860,8907612,4332,3470172
21-06 15:58:08,3.666,1.205,95.009,0.251,0,33038.391,0,4534080,8160416,4332,3503068
21-06 15:58:09,3.594,2.046,94.638,0,0,0,3.993,1560812,11133684,4332,3503068
21-06 15:58:10,1.447,3.841,94.930,0,0,0,23.944,4304896,8389560,4340,3503068
21-06 15:58:11,4.853,0.600,94.460,0.350,0,32916.828,0,4567364,8094136,4340,3535968
21-06 15:58:12,3.550,1.850,94.851,0,0,0,0,1692116,10969384,4340,3535968
21-06 15:58:13,1.555,3.861,94.680,0,0,0,0,4421260,8240232,4340,3535968
21-06 15:58:14,4.389,0.449,94.918,0.150,0,32815.741,0,4599744,8028788,4340,3568864
21-06 15:58:15,2.956,2.505,94.488,0.050,0,0,40.080,2001868,10626592,4348,3568864
21-06 15:58:16,1.300,3.850,94.658,0.100,0,15745.331,4.000,4619620,7992792,4348,3584864
21-06 15:58:17,5.003,0.250,94.658,0.100,0,17162.467,0,4638476,7957008,4348,3601760
21-06 15:58:18,2.550,2.450,94.964,0,0,0,0,1880796,10714688,4348,3601760
21-06 15:58:19,1.501,3.602,94.794,0,0,0,0,4509476,8086008,4348,3601760
21-06 15:58:20,4.439,0.399,94.674,0.249,0,32817.753,67.838,4670748,7891720,4356,3634656
21-06 15:58:21,3.608,1.955,94.672,0,0,0,0,1332340,11230128,4356,3634656
21-06 15:58:22,5.395,7.094,206.226,0.350,0,36872.910,11.990,4702344,7823112,4508,3671412
21-06 15:58:23,5.004,0.050,94.878,0,0,0,0,4718472,7806984,4508,3671412
21-06 15:58:24,2.343,3.041,94.564,0,0,0,147.553,2480556,10044872,4520,3671412
21-06 15:58:25,1.443,3.533,94.744,0.249,0,32738.448,0,4733728,7758756,4520,3704308
21-06 15:58:26,5.207,0.198,94.809,0,0,0,3.967,4735184,7757260,4520,3704308
21-06 15:58:27,2.608,2.457,94.687,0,0,0,4.012,2139420,10353024,4520,3704308
21-06 15:58:28,1.498,3.694,94.651,0,0,0,7.987,4617040,7875404,4520,3704308
21-06 15:58:29,4.548,0.455,94.843,0.202,0,33243.922,36.381,4768556,7690888,4528,3737204
21-06 15:58:30,4.419,1.356,94.656,0,0,0,140.602,1271884,11187560,4528,3737204
21-06 15:58:31,1.483,3.607,94.683,0,0,0,0,3955364,8504112,4528,3737204
21-06 15:58:32,3.503,1.401,94.880,0.150,0,32923.805,0,4804072,7622444,4528,3770100
21-06 15:58:33,4.655,0.551,94.842,0,0,0,4.004,4905240,7521276,4528,3770100
21-06 15:58:34,1.251,3.903,94.674,0,0,0,24.019,3172216,9254276,4536,3770100
21-06 15:58:35,2.702,2.502,94.767,0.250,0,32919.444,4.003,4838428,7555072,4536,3802996
21-06 15:58:36,4.854,0.350,94.829,0,0,0,0,4868696,7524804,4536,3802996
21-06 15:58:37,1.851,3.303,94.627,0,0,0,0,2548252,9845224,4536,3802996
21-06 15:58:38,1.551,3.353,94.890,0.300,0,32927.319,4.004,4864944,7495588,4536,3835892
21-06 15:58:39,5.154,0.100,94.580,0,0,0,24.020,4867352,7493156,4544,3835892
21-06 15:58:40,3.154,2.253,94.816,0,0,0,4.005,1838440,10522068,4544,3835892
21-06 15:58:41,1.551,3.953,94.475,0,0,0,0,4480544,7879964,4544,3835892
21-06 15:58:42,4.052,0.791,94.933,0.198,0,32513.419,0,4899072,7428460,4544,3868788
21-06 15:58:43,3.851,1.368,94.815,0,0,0,0,1223964,11103568,4544,3868788
21-06 15:58:44,1.441,3.825,94.888,0,0,0,23.846,3865464,8462068,4552,3868780
21-06 15:58:45,3.526,1.837,94.397,0.298,0,32669.958,0,4935332,7359240,4552,3901684
21-06 15:58:46,4.804,0.300,95.023,0,0,0,4.003,5012444,7282128,4552,3901684
21-06 15:58:47,1.826,3.600,94.778,0,0,0,0,2919600,9374980,4552,3901684
21-06 15:58:48,1.950,2.801,94.872,0.250,0,32903.499,0,4966836,7294800,4552,3934580
21-06 15:58:49,5.175,0.197,94.527,0,0,0,0,4965508,7296112,4552,3934580
21-06 15:58:50,3.481,2.069,94.753,0.050,0,0,36.327,1629056,10632532,4560,3934620
21-06 15:58:51,1.557,3.867,94.656,0,0,0,132.568,4242896,8018724,4560,3934620
21-06 15:58:52,3.707,1.384,94.698,0.198,0,32517.437,3.954,4999944,7228716,4560,3967516
21-06 15:58:53,6.836,4.659,207.254,0.051,0,0,52.662,2572160,9656500,4568,3967516
21-06 15:58:54,1.768,3.830,94.376,0,0,0,51.067,4559072,7669588,4568,3967516
21-06 15:58:55,4.000,0.950,94.959,0.200,0,32899.143,0,5034600,7161132,4568,4000412
21-06 15:58:56,4.851,0.450,94.711,0,0,0,4.000,5120412,7075304,4568,4000412
21-06 15:58:57,1.675,3.400,94.791,0,0,0,4.060,2965608,9230108,4568,4000412
21-06 15:58:58,2.319,2.862,94.592,0.197,0,32464.135,47.370,5068372,7094380,4580,4033308
21-06 15:58:59,5.399,0.150,94.775,0,0,0,0,5066016,7096720,4580,4033308
21-06 15:59:00,3.333,2.424,94.693,0,0,0,4.040,1676592,10486128,4580,4033308
21-06 15:59:01,1.336,3.662,94.917,0,0,0,0,4337836,7824892,4580,4033308
21-06 15:59:02,3.587,1.162,94.766,0.303,0,33234.828,4.041,5099652,7030100,4580,4066204
21-06 15:59:03,5.188,0.150,94.423,0,0,0,31.923,5119484,7010260,4588,4066204
21-06 15:59:04,1.985,3.375,94.591,0,0,0,59.554,2489428,9640284,4588,4066212
21-06 15:59:05,1.300,3.750,94.807,0.150,0,20097.445,0,5114724,6994588,4588,4086564
21-06 15:59:06,4.902,0.150,94.689,0.100,0,12805.251,4.002,5126120,6970624,4588,4099108
21-06 15:59:07,3.910,1.269,94.954,0,0,0,20.311,1318180,10778564,4588,4099108
21-06 15:59:08,1.822,3.939,94.300,0,0,0,43.334,4037132,8059612,4596,4099100
21-06 15:59:09,3.103,1.902,94.839,0.200,0,32926.971,0,5162876,6900884,4596,4132004
21-06 15:59:10,4.803,0.500,94.652,0,0,0,0,5248372,6815388,4596,4132004
21-06 15:59:11,1.813,3.224,94.754,0,0,0,0,3032900,9030860,4596,4132004
21-06 15:59:12,1.889,3.033,94.864,0.249,0,32711.324,3.978,5197592,6833444,4596,4164728
21-06 15:59:13,5.152,0.100,94.586,0,0,0,12.005,5197152,6833884,4596,4164728
21-06 15:59:14,3.354,2.052,94.460,0,0,0,32.037,1494588,10536204,4604,4164900
21-06 15:59:15,1.501,3.752,94.904,0,0,0,0,4192196,7838580,4604,4164900
21-06 15:59:16,3.464,1.807,94.675,0.251,0,33026.950,0,5231612,6766204,4604,4197796
21-06 15:59:17,4.947,0.100,94.939,0,0,0,0,5251520,6746296,4604,4197796
21-06 15:59:18,2.654,2.905,94.654,0,0,0,16.026,2544932,9452884,4604,4197796
21-06 15:59:19,1.400,3.999,94.824,0.050,0,6654.148,27.992,5240652,6750252,4612,4204700
21-06 15:59:20,5.112,0.301,94.473,0.251,0,26302.191,0,5264776,6700056,4612,4230692
21-06 15:59:21,4.297,0.800,94.941,0,0,0,0,3996432,7968400,4612,4230692
21-06 15:59:22,1.354,3.862,94.546,0,0,0,0,2915744,9049088,4612,4230692
21-06 15:59:23,1.548,3.546,94.792,0.150,0,855.024,51.941,4922724,7041236,5124,4231036
21-06 15:59:24,9.779,2.407,216.845,0.602,0,36344.101,493.468,1576852,10346552,7012,4269480
21-06 15:59:25,1.439,3.870,94.629,0,0,0,0,3764472,8158932,7012,4269480
21-06 15:59:26,2.703,2.261,94.991,0.098,0,32331.481,0,5328944,6561516,7012,4302376
21-06 15:59:27,5.141,0.153,94.578,0,0,0,20.361,5327900,6562528,7012,4302376
21-06 15:59:28,3.784,1.494,94.752,0,0,0,119.498,1405388,10485032,7020,4302376
21-06 15:59:29,1.660,4.075,94.629,0,0,0,0,3995004,7895416,7020,4302376
21-06 15:59:30,2.794,2.245,94.707,0.150,0,32829.105,0,5365152,6492292,7020,4335272
21-06 15:59:31,5.168,0.151,94.726,0,0,0,0,5365504,6491940,7020,4335272
21-06 15:59:32,2.995,2.146,94.935,0,0,0,0,1840644,10016784,7020,4335272
21-06 15:59:33,1.608,4.069,94.745,0,0,0,32.151,4469116,7388312,7028,4335264
21-06 15:59:34,3.580,1.343,94.574,0.298,0,32714.055,0,5397904,6426572,7028,4368168
21-06 15:59:35,5.255,0.150,94.896,0,0,0,0,5404680,6419796,7028,4368168
21-06 15:59:36,2.151,3.052,94.665,0,0,0,0,2264044,9560432,7028,4368168
21-06 15:59:37,1.404,3.810,94.708,0,0,0,0,4930752,6893692,7028,4368168
21-06 15:59:38,4.150,0.800,94.745,0.300,0,32894.387,171.992,5429592,6361876,7036,4401056
21-06 15:59:39,5.132,0.448,94.765,0,0,0,3.986,5477112,6314340,7036,4401064
21-06 15:59:40,1.591,3.530,94.710,0,0,0,0,2702024,9089412,7036,4401064
21-06 15:59:41,1.311,3.733,94.927,0,0,0,0,5415172,6376264,7036,4401064
21-06 15:59:42,4.547,0.450,94.786,0.200,0,32873.837,0,5461408,6297052,7036,4433960
21-06 15:59:43,4.702,0.550,94.700,0.050,0,0,24.013,5551908,6206544,7044,4433952
21-06 15:59:44,1.000,1.150,98.151,0,0,0,4.000,1126992,10631460,7044,4433960
21-06 15:59:45,0.150,0.050,99.811,0,0,0,4.000,1127744,10630708,7044,4433960
21-06 15:59:46,0.400,0.300,99.208,0,0,0,0,1128584,10629868,7044,4433960
